aws_acm_certificate
aws_ami
aws_api_gateway_api_key
aws_api_gateway_authorizer
aws_api_gateway_base_path_mapping
aws_api_gateway_documentation_part
aws_api_gateway_documentation_version
aws_api_gateway_domain_name
aws_api_gateway_integration
aws_api_gateway_integration_response
aws_api_gateway_method
aws_api_gateway_method_response
aws_api_gateway_model
aws_api_gateway_request_validator
aws_api_gateway_resource
aws_api_gateway_rest_api
aws_api_gateway_stage
aws_api_gateway_usage_plan
aws_api_gateway_usage_plan_key
aws_api_gateway_vpc_link
aws_apigatewayv2_api
aws_apigatewayv2_api_mapping
aws_apigatewayv2_authorizer
aws_apigatewayv2_deployment
aws_apigatewayv2_domain_name
aws_apigatewayv2_integration
aws_apigatewayv2_model
aws_apigatewayv2_route
aws_apigatewayv2_stage
aws_apigatewayv2_vpc_link
aws_appconfig_application
aws_appmesh_mesh
aws_appmesh_virtual_gateway
aws_appmesh_virtual_node
aws_appmesh_virtual_router
aws_appmesh_virtual_service
aws_athena_data_catalog
aws_athena_database
aws_athena_named_query
aws_athena_workgroup
aws_autoscaling_group
aws_autoscaling_lifecycle_hook
aws_autoscaling_policy
aws_backup_vault
aws_cloudfront_cache_policy
aws_cloudfront_distribution
aws_cloudfront_function
aws_cloudfront_key_group
aws_cloudfront_origin_access_identity
aws_cloudfront_origin_request_policy
aws_cloudfront_realtime_log_config
aws_cloudhsm_v2_cluster
aws_cloudhsm_v2_hsm
aws_cloudtrail
aws_cloudwatch_composite_alarm
aws_cloudwatch_dashboard
aws_cloudwatch_event_bus
aws_cloudwatch_event_rule
aws_cloudwatch_event_target
aws_cloudwatch_log_group
aws_cloudwatch_log_subscription_filter
aws_cloudwatch_metric_alarm
aws_cloudwatch_metric_stream
aws_codebuild_project
aws_codebuild_report_group
aws_codepipeline
aws_codepipeline_webhook
aws_cognito_identity_pool
aws_cognito_identity_provider
aws_cognito_resource_server
aws_cognito_user_group
aws_cognito_user_pool
aws_cognito_user_pool_client
aws_config_aggregate_authorization
aws_config_configuration_recorder
aws_config_delivery_channel
aws_db_cluster_snapshot
aws_db_event_subscription
aws_db_instance
aws_db_option_group
aws_db_parameter_group
aws_db_proxy
aws_db_proxy_default_target_group
aws_db_proxy_endpoint
aws_db_security_group
